WATER_SYSTEM_NUMBER,SYSTEM_NAME,COUNTY,LATITUDE_MEASURE,LONGITUDE_MEASURE,FINAL_SAFER_STATUS,SERVICE_CONNECTIONS,POPULATION,OWNER_TYPE,FEDERAL_CLASSIFICATION_TYPE,CALENVIRO_SCREEN_SCORE,MHI,SERVICE_AREA_ECONOMIC_STATUS
CA4810001,CITY OF BENICIA,SOLANO,38.072403,-122.152537,Not At-Risk,9595,27131,LOCAL,COMMUNITY,17.5098958611333,112277,Non-DAC
CA4810002,CALIFORNIA WATER SERVICE CO. - DIXON,SOLANO,38.446367,-121.826106,Potentially At-Risk,3067,10623,PRIVATE,COMMUNITY,32.4882731483005,85934,Non-DAC
CA4810003,CITY OF FAIRFIELD,SOLANO,38.270895,-122.051417,Not Assessed,32910,120377,LOCAL,COMMUNITY,20.9465676670315,97905,Non-DAC
CA4810004,CITY OF RIO VISTA,SOLANO,38.177167,-121.703174,Potentially At-Risk,5646,10489,LOCAL,COMMUNITY,41.7398600200862,68446,DAC
CA4810005,SUISUN-SOLANO WATER AUTHORITY,SOLANO,38.249158,-122.006387,Not At-Risk,8713,29105,LOCAL,COMMUNITY,25.4649621559908,78518,Non-DAC
CA4810007,CITY OF VALLEJO,SOLANO,38.114115,-122.235056,Not Assessed,36795,121420,LOCAL,COMMUNITY,32.8198740665553,86405,Non-DAC
CA4810008,CITY OF VACAVILLE,SOLANO,38.359706,-121.967938,Not Assessed,30935,97000,LOCAL,COMMUNITY,20.9009344671806,102268,Non-DAC
CA4810009,CITY OF DIXON,SOLANO,38.453198,-121.827139,Not At-Risk,3800,12540,LOCAL,COMMUNITY,32.5786115614451,85865,Non-DAC
CA4810010,SID - GIBSON CANYON,SOLANO,38.390434,-122.005879,Not At-Risk,162,535,LOCAL,COMMUNITY,18.6716391456065,105435,Non-DAC
CA4810011,SID - ELMIRA,SOLANO,38.353419,-121.91052,Not At-Risk,88,290,LOCAL,COMMUNITY,24.717361361041,96613,Non-DAC
CA4810012,SID - QUAIL CANYON,SOLANO,38.474242,-122.052381,At-Risk,40,132,LOCAL,COMMUNITY,18.6873346432405,102991,Non-DAC
CA4810013,RURAL NORTH VACAVILLE WATER DISTRICT,SOLANO,38.402501,-122.00476,Potentially At-Risk,398,1313,LOCAL,COMMUNITY,18.6905648424138,106647,Non-DAC
CA4810015,TRAVIS AFB WTP - VALLEJO,SOLANO,38.137786,-122.24116,Not Assessed,1,3,LOCAL,COMMUNITY,42.2490074492314,66890,DAC
CA4810021,CITY OF VALLEJO-LAKES SYSTEM,SOLANO,38.119217,-122.221861,Not At-Risk,860,2800,LOCAL,COMMUNITY,32.0521330256615,86767,Non-DAC
CA4810024,SID - BLUE RIDGE OAKS,SOLANO,38.314961,-122.038635,Potentially At-Risk,19,63,LOCAL,COMMUNITY,16.277229868295,102161,Non-DAC
CA4810025,SID - PLEASANT HILLS RANCH,SOLANO,38.398258,-122.04568,Potentially At-Risk,27,89,LOCAL,COMMUNITY,18.6873346432405,102991,Non-DAC
CA4810026,SID - PEABODY,SOLANO,38.297511,-121.978042,Not At-Risk,17,56,LOCAL,COMMUNITY,24.6388092363499,97904,Non-DAC
CA4810701,CALIFORNIA WATER SERVICE CO.-TRAVIS AFB,SOLANO,38.262756,-121.944921,Not At-Risk,1,18111,FEDERAL GOVERNMENT,COMMUNITY,16.0345496366141,90834,Non-DAC
CA4810800,CALIFORNIA STATE PRISON - SOLANO,SOLANO,38.321089,-121.975205,Not At-Risk,1,5100,STATE GOVERNMENT,COMMUNITY,NA,105435,Non-DAC
CA4810801,DELTA CONSERVATION CAMP,SOLANO,38.217494,-121.847387,At-Risk,4,65,STATE GOVERNMENT,COMMUNITY,41.7641896181487,35924,SDAC
CA4900508,"CAZADERO WATER COMPANY, INC. (PUC)",SONOMA,38.529031,-123.091708,Failing,159,525,PRIVATE,COMMUNITY,12.921613271307,64929,DAC
CA4900510,SOUTH CLOVERDALE WATER COMPANY,SONOMA,38.779265,-123.01168,Failing,36,90,PRIVATE,COMMUNITY,16.2543715670365,70288,DAC
CA4900512,HAPPY ACRES MUTUAL BENEFIT WATER SYSTEM,SONOMA,38.302764,-122.732996,Not At-Risk,80,260,PRIVATE,COMMUNITY,13.7137296430211,98375,Non-DAC
CA4900513,MADRONE MUTUAL WATER COMPANY,SONOMA,38.331296,-122.729412,Not At-Risk,23,76,PRIVATE,COMMUNITY,20.2690192224297,60781,DAC
CA4900514,RANCHO DEL PARADISO-CAL WATER SVC (PUC),SONOMA,38.444958,-123.061005,Not At-Risk,60,94,PRIVATE,COMMUNITY,12.9164053111075,60262,DAC
CA4900521,GILL CREEK MUTUAL WATER COMPANY,SONOMA,38.740526,-122.918383,Not At-Risk,92,290,PRIVATE,COMMUNITY,16.8241795476881,111884,Non-DAC
CA4900532,SONOMA COUNTY CSA 41-JENNER,SONOMA,38.452279,-123.117818,At-Risk,123,406,LOCAL,COMMUNITY,12.9164053111075,60262,DAC
CA4900533,MORTON'S WARM SPRINGS / SONOMA SPRINGS,SONOMA,38.39437,-122.55117,Not At-Risk,21,59,PRIVATE,COMMUNITY,5.25968262486137,124999,Non-DAC
CA4900536,OCCIDENTAL COMMUNITY SERVICES DISTRICT,SONOMA,38.408392,-122.948246,Not At-Risk,110,533,LOCAL,COMMUNITY,9.98556102465472,91058,Non-DAC
CA4900543,SONOMA COUNTY CSA 41-SALMON CREEK,SONOMA,38.349487,-123.064111,At-Risk,99,427,LOCAL,COMMUNITY,12.9164053111075,45455,SDAC
CA4900545,"BRANGER MUTUAL WATER COMPANY, INC.",SONOMA,38.4198,-122.672711,Not At-Risk,83,300,PRIVATE,COMMUNITY,11.7108516865356,93993,Non-DAC
CA4900546,HAWKINS WATER CO-CAL WATER SERVICE (PUC),SONOMA,38.407581,-122.753629,Not At-Risk,50,81,PRIVATE,COMMUNITY,31.7036806615464,74450,DAC
CA4900547,END-O-VALLEY MUTUAL WATER COMPANY,SONOMA,38.484545,-122.681859,Not At-Risk,39,129,PRIVATE,COMMUNITY,9.01818574487698,93993,Non-DAC
CA4900548,HOLLAND HEIGHTS MUTUAL WATER COMPANY,SONOMA,38.427475,-122.681151,Not At-Risk,117,300,PRIVATE,COMMUNITY,11.7161725374555,93993,Non-DAC
CA4900549,SONOMA COUNTY CSA 41-FREESTONE,SONOMA,38.373241,-122.919154,At-Risk,26,290,LOCAL,COMMUNITY,9.98402462600575,83578,Non-DAC
CA4900551,MELITA HEIGHTS MUTUAL WATER COMPANY,SONOMA,38.454636,-122.646494,At-Risk,25,64,PRIVATE,COMMUNITY,4.95896344898989,93993,Non-DAC
CA4900552,MICHELE MUTUAL WATER COMPANY,SONOMA,38.514312,-122.721111,Not At-Risk,38,93,PRIVATE,COMMUNITY,13.8430673781674,85658,Non-DAC
CA4900553,PARK ROYAL MUTUAL WATER COMPANY,SONOMA,38.439804,-122.782412,Failing,27,75,PRIVATE,COMMUNITY,17.4477900832462,67109,DAC
CA4900558,BELMONT TERRACE MUTUAL WATER COMPANY,SONOMA,38.408849,-122.843193,Not At-Risk,87,287,PRIVATE,COMMUNITY,15.2083435203911,86500,Non-DAC
CA4900559,FIRCREST MUTUAL WATER COMPANY,SONOMA,38.389073,-122.822765,Not At-Risk,47,126,PRIVATE,COMMUNITY,10.5274825900147,74015,DAC
CA4900560,KELLY MUTUAL WATER COMPANY,SONOMA,38.385473,-122.807734,Not At-Risk,41,135,PRIVATE,COMMUNITY,10.5274825900147,74015,DAC
CA4900561,WILLOWSIDE MUTUAL WATER COMPANY,SONOMA,38.436462,-122.804422,Not At-Risk,160,448,PRIVATE,COMMUNITY,17.4477900832462,99740,Non-DAC
CA4900562,DIAMOND A MUTUAL WATER COMPANY,SONOMA,38.301745,-122.544859,Not At-Risk,194,640,PRIVATE,COMMUNITY,6.46054229903008,105094,Non-DAC
CA4900563,MISSION HIGHLANDS MUTUAL WATER CO.,SONOMA,38.320325,-122.456633,Not At-Risk,69,150,PRIVATE,COMMUNITY,9.77348233200323,86103,Non-DAC
CA4900568,VALLEY FORD WATER ASSOCIATION,SONOMA,38.317259,-122.924936,Failing,18,88,PRIVATE,COMMUNITY,7.1610081966123,120625,Non-DAC
CA4900570,PALOMINO LAKES MUTUAL WATER CO.,SONOMA,38.778959,-122.96844,Failing,111,300,PRIVATE,COMMUNITY,16.8241795476881,111932,Non-DAC
CA4900573,WILSHIRE HEIGHTS MUTUAL WATER COMPANY,SONOMA,38.516523,-122.710676,Not At-Risk,41,70,PRIVATE,COMMUNITY,6.43135718861712,144833,Non-DAC
CA4900575,LOCH HAVEN MUTUAL WATER COMPANY,SONOMA,38.554891,-122.712942,At-Risk,12,26,PRIVATE,COMMUNITY,4.78199638362134,58554,DAC
CA4900577,RIO LINDO ADVENTIST ACADEMY,SONOMA,38.626751,-122.839197,Not At-Risk,55,178,PRIVATE,COMMUNITY,12.261811225897,81339,Non-DAC
CA4900578,CARMET BY THE SEA WATER COMPANY,SONOMA,38.375641,-123.075563,Not At-Risk,64,288,PRIVATE,COMMUNITY,12.9164053111075,75968,DAC
CA4900580,SONOMA MOUNTAIN COUNTY WATER DISTRICT,SONOMA,38.370689,-122.648699,Not At-Risk,56,181,LOCAL,COMMUNITY,11.7108516865356,144185,Non-DAC
CA4900582,LARKIN WOODS MUTUAL WATER COMPANY,SONOMA,38.463585,-122.942697,At-Risk,18,34,PRIVATE,COMMUNITY,12.5996506349877,66174,DAC
CA4900584,TIMBER COVE COUNTY WATER DISTRICT,SONOMA,38.542135,-123.281564,Not At-Risk,195,271,LOCAL,COMMUNITY,5.463307621918,73750,DAC
CA4900585,BENNETT RIDGE MUTUAL WATER COMPANY,SONOMA,38.395055,-122.597807,Not At-Risk,133,439,PRIVATE,COMMUNITY,4.15533101846216,157565,Non-DAC
CA4900587,BRAND WATER COMPANY,SONOMA,38.454344,-122.627714,Not At-Risk,34,112,PRIVATE,COMMUNITY,4.95896344898989,93993,Non-DAC
CA4900588,LAWNDALE MUTUAL WATER COMPANY,SONOMA,38.410562,-122.565752,Not At-Risk,62,218,PRIVATE,COMMUNITY,5.05408561748613,105009,Non-DAC
CA4900599,RANDAL'S RANCHETTE MUTUAL WATER COMPANY,SONOMA,38.48388,-122.674563,Not At-Risk,29,200,PRIVATE,COMMUNITY,6.43135718861712,93993,Non-DAC
CA4900600,RINCON VALLEY MOBILE ESTATES,SONOMA,38.462898,-122.672379,Not At-Risk,230,460,PRIVATE,COMMUNITY,8.4513350992058,59583,DAC
CA4900603,RIEBLI MUTUAL WATER COMPANY,SONOMA,38.500891,-122.702241,Not At-Risk,47,150,PRIVATE,COMMUNITY,9.01818574487698,121265,Non-DAC
CA4900605,MARK WEST ACRES MWC,SONOMA,38.512365,-122.717118,Not At-Risk,22,61,PRIVATE,COMMUNITY,6.43135718861712,144833,Non-DAC
CA4900608,SIX ACRES WATER COMPANY,SONOMA,38.788751,-123.015795,Failing,22,66,PRIVATE,COMMUNITY,29.5922021884024,60469,DAC
CA4900611,RAINS CREEK WATER DISTRICT,SONOMA,38.773259,-123.003065,Potentially At-Risk,63,208,LOCAL,COMMUNITY,16.0476179164566,77013,DAC
CA4900612,HEIGHTS MUTUAL WATER COMPANY,SONOMA,38.512213,-122.688214,Not At-Risk,110,363,PRIVATE,COMMUNITY,6.43135718861712,144833,Non-DAC
CA4900620,AUSTIN ACRES MUTUAL WATER COMPANY,SONOMA,38.478984,-123.049758,Potentially At-Risk,24,82,PRIVATE,COMMUNITY,12.9400448174222,65940,DAC
CA4900630,AUSTIN CREEK MUTUAL (SPRINGHILL),SONOMA,38.489854,-123.056517,Not At-Risk,63,150,PRIVATE,COMMUNITY,12.9456449969824,66572,DAC
CA4900634,HUCKLEBERRY MUTUAL WATER COMPANY,SONOMA,38.484458,-123.061139,Not At-Risk,29,45,PRIVATE,COMMUNITY,12.9164053111075,60262,DAC
CA4900637,MAGIC MOUNTAIN MUTUAL WATER COMPANY,SONOMA,38.475406,-123.053633,Not At-Risk,67,221,PRIVATE,COMMUNITY,12.9164053111075,60262,DAC
CA4900639,REDWOOD HEIGHTS MUTUAL WATER COMPANY,SONOMA,38.499915,-123.066534,Failing,18,30,PRIVATE,COMMUNITY,12.945712727987,66587,DAC
CA4900640,SONOMA COUNTY MUTUAL WATER COMPANY,SONOMA,38.491932,-123.067109,At-Risk,18,40,PRIVATE,COMMUNITY,12.9164053111075,60262,DAC
CA4900641,SUNRISE MOUNTAIN MUTUAL WATER COMPANY,SONOMA,38.502123,-123.073024,Not At-Risk,51,100,PRIVATE,COMMUNITY,12.9164115874862,60263,DAC
CA4900644,BRIDGEHAVEN PARK,SONOMA,38.431573,-123.098909,Failing,31,70,PRIVATE,COMMUNITY,12.9164053111075,18510,SDAC
CA4900646,ALEXANDER VALLEY ACRES WATER COMPANY,SONOMA,38.640884,-122.810957,Not At-Risk,16,27,PRIVATE,COMMUNITY,12.261811225897,90625,Non-DAC
CA4900647,SERENO DEL MAR WATER COMPANY (PUC),SONOMA,38.386298,-123.067376,At-Risk,139,435,PRIVATE,COMMUNITY,12.9164053111075,75968,DAC
CA4900653,LONE PINE MUTUAL WATER COMPANY,SONOMA,38.364227,-122.802054,Not At-Risk,28,65,PRIVATE,COMMUNITY,7.62955761770325,99582,Non-DAC
CA4900660,YULUPA MUTUAL WATER COMPANY,SONOMA,38.400366,-122.618704,Not At-Risk,59,200,PRIVATE,COMMUNITY,4.1462496903997,157571,Non-DAC
CA4900665,RUSSIAN RIVER MUTUAL WATER CO.,SONOMA,38.605725,-122.849608,Potentially At-Risk,31,87,PRIVATE,COMMUNITY,12.261811225897,75357,DAC
CA4900667,COLLEGE PARK MUTUAL WATER COMPANY,SONOMA,38.325168,-122.626862,Not At-Risk,74,244,PRIVATE,COMMUNITY,9.56537824423011,106136,Non-DAC
CA4900669,WENDELL LANE MUTUAL WATER COMPANY,SONOMA,38.347908,-122.768327,Not At-Risk,25,82,PRIVATE,COMMUNITY,7.62955761770325,98750,Non-DAC
CA4900673,ATHENA TERRACE MUTUAL WATER COMPANY,SONOMA,38.477225,-122.844763,Not At-Risk,23,50,PRIVATE,COMMUNITY,12.5996327457233,81000,Non-DAC
CA4900674,PINE HILL TERRACE MOBILE HOME PARK,SONOMA,38.43791,-122.85709,At-Risk,23,27,PRIVATE,COMMUNITY,11.7255962198429,111618,Non-DAC
CA4900675,ROSELAND MOBILE HOME PARK,SONOMA,38.429548,-122.735294,Not At-Risk,70,130,PRIVATE,COMMUNITY,40.0792701136539,55417,SDAC
CA4900679,FORT ROSS SCHOOL DISTRICT,SONOMA,38.556962,-123.265134,Not At-Risk,2,100,LOCAL,NON-TRANSIENT NON-COMMUNITY,5.463307621918,77333,Non-DAC
CA4900680,HORICON SCHOOL,SONOMA,38.717486,-123.368951,Not At-Risk,4,100,LOCAL,NON-TRANSIENT NON-COMMUNITY,12.9164053111075,59028,DAC
CA4900693,BELLEVUE UNION SCH DIST-BELLEVUE SCHOOL,SONOMA,38.397439,-122.735908,Not At-Risk,2,380,LOCAL,NON-TRANSIENT NON-COMMUNITY,38.4275142862655,54592,SDAC
CA4900694,WRIGHT ELEMENTARY SCHOOL,SONOMA,38.420188,-122.773026,Failing,11,500,LOCAL,NON-TRANSIENT NON-COMMUNITY,31.7036806615464,56250,SDAC
CA4900695,NORTHWEST PREP CHARTER SCHOOL,SONOMA,38.465813,-122.772836,Not At-Risk,1,325,LOCAL,NON-TRANSIENT NON-COMMUNITY,9.87282345666315,102891,Non-DAC
CA4900699,OLIVET ELEMENTARY SCHOOL,SONOMA,38.464026,-122.808479,Not At-Risk,6,400,LOCAL,NON-TRANSIENT NON-COMMUNITY,9.87282345666315,102891,Non-DAC
CA4900703,OAK GROVE SCHOOL,SONOMA,38.433033,-122.863785,Not At-Risk,7,500,LOCAL,NON-TRANSIENT NON-COMMUNITY,11.7255962198429,93750,Non-DAC
CA4900704,ALEXANDER VALLEY UNION SCHOOL DISTRICT,SONOMA,38.655219,-122.793375,Not At-Risk,5,200,LOCAL,NON-TRANSIENT NON-COMMUNITY,16.8241795476881,91875,Non-DAC
CA4900705,GEYSERVILLE NEWTECH ACADEMY SCHOOL,SONOMA,38.720173,-122.888458,Not At-Risk,2,200,PRIVATE,NON-TRANSIENT NON-COMMUNITY,16.8241795476881,92500,Non-DAC
CA4900707,TWIN HILLS SCHOOL DIST-TWIN HILLS SCHOOL,SONOMA,38.380498,-122.836791,Not At-Risk,2,400,LOCAL,NON-TRANSIENT NON-COMMUNITY,5.73104967855985,76207,DAC
CA4900708,GRAVENSTEIN SCHOOL DISTRICT-GRAVENSTEIN,SONOMA,38.360862,-122.785639,Not At-Risk,7,398,LOCAL,NON-TRANSIENT NON-COMMUNITY,7.62955761770325,97132,Non-DAC
CA4900710,TWIN HILLS SCHOOL DIST-APPLE BLOSSOM SCH,SONOMA,38.388812,-122.85265,Not At-Risk,1,400,LOCAL,NON-TRANSIENT NON-COMMUNITY,7.1610081966123,105703,Non-DAC
CA4900711,GRAVENSTEIN SCHOOL DISTRICT-HILLCREST,SONOMA,38.370139,-122.805496,Not At-Risk,1,289,LOCAL,NON-TRANSIENT NON-COMMUNITY,10.5274825900147,74015,DAC
CA4900714,LIBERTY SCHOOL,SONOMA,38.27912,-122.705853,Potentially At-Risk,3,225,LOCAL,NON-TRANSIENT NON-COMMUNITY,14.3349941511803,101128,Non-DAC
CA4900716,CINNABAR ELEMENTARY SCHOOL,SONOMA,38.258197,-122.665601,Not At-Risk,2,228,LOCAL,NON-TRANSIENT NON-COMMUNITY,15.494678622813,83750,Non-DAC
CA4900719,WEST SIDE UNION SCHOOL DISTRICT,SONOMA,38.580235,-122.883367,Not At-Risk,5,175,LOCAL,NON-TRANSIENT NON-COMMUNITY,12.7493745356017,80000,Non-DAC
CA4900720,MOBILE HOME ESTATES,SONOMA,38.521204,-122.777392,Failing,150,210,PRIVATE,COMMUNITY,15.1846579664634,40156,SDAC
CA4900721,COLONIAL PARK,SONOMA,38.519333,-122.776336,Not At-Risk,194,342,PRIVATE,COMMUNITY,15.1846579664634,40156,SDAC
CA4900723,SHAMROCK MOBILE HOME PARK,SONOMA,38.536153,-122.785836,At-Risk,127,188,PRIVATE,COMMUNITY,10.0798631061808,96536,Non-DAC
CA4900728,EVERGREEN MOBILE ESTATES,SONOMA,38.561479,-122.824575,Potentially At-Risk,23,65,PRIVATE,COMMUNITY,22.8010307019309,75945,DAC
CA4900736,CLEAR CREEK WATER COMPANY,SONOMA,38.80038,-122.985163,Not At-Risk,19,40,PRIVATE,COMMUNITY,16.8241795476881,111932,Non-DAC
CA4900739,DUNHAM SCHOOL,SONOMA,38.320519,-122.757952,Not At-Risk,3,175,LOCAL,NON-TRANSIENT NON-COMMUNITY,13.7137296430211,98375,Non-DAC
CA4900785,NOEL HEIGHTS-CAL WATER SERVICE (PUC),SONOMA,38.490337,-122.957275,Not At-Risk,47,79,PRIVATE,COMMUNITY,12.8626028401246,60501,DAC
CA4900787,PLAZA MOBILE HOME PARK,SONOMA,38.395552,-122.711653,Not At-Risk,71,169,PRIVATE,COMMUNITY,39.1519412767798,41677,SDAC
CA4900789,BLUE SPRUCE MOBILE HOME PARK,SONOMA,38.447305,-122.865457,Potentially At-Risk,54,90,PRIVATE,COMMUNITY,12.5996327457233,46140,SDAC
CA4900791,WESTERN MOBILE HOME PARK,SONOMA,38.3967,-122.714827,At-Risk,73,178,PRIVATE,COMMUNITY,39.1519412767798,51865,SDAC
CA4900793,VINEHILL VISTAS MUTUAL WATER COMPANY,SONOMA,38.478546,-122.85622,Not At-Risk,29,42,PRIVATE,COMMUNITY,12.5996327457233,81000,Non-DAC
CA4900794,SUNSET PARK COMMUNITY,SONOMA,38.405121,-122.714751,Potentially At-Risk,56,141,PRIVATE,COMMUNITY,39.1519412767798,51865,SDAC
CA4900795,STONEGATE MOBILE HOME PARK,SONOMA,38.509334,-122.778562,Failing,70,196,PRIVATE,COMMUNITY,20.7959268808781,89081,Non-DAC
CA4900796,SANTA ROSA MOBILE ESTATES,SONOMA,38.393919,-122.70643,At-Risk,141,420,PRIVATE,COMMUNITY,39.1519412767798,43289,SDAC
CA4900797,NORTH STAR MOBILE HOME PARK,SONOMA,38.398533,-122.710809,Potentially At-Risk,79,221,PRIVATE,COMMUNITY,39.1519412767798,41677,SDAC
CA4900798,"MOUNTAIN VIEW MOBILE ESTATES, LLC",SONOMA,38.407779,-122.711038,At-Risk,111,250,PRIVATE,COMMUNITY,39.1519412767798,51865,SDAC
CA4900799,EL PORTAL MOBILE ESTATES,SONOMA,38.403843,-122.710551,At-Risk,123,200,PRIVATE,COMMUNITY,39.1519412767798,43208,SDAC
CA4900832,LEISURE MOBILE HOME PARK,SONOMA,38.430977,-122.750244,Not At-Risk,183,410,PRIVATE,COMMUNITY,24.4044851887008,51639,SDAC
CA4900843,SONOMA RANCH MUTUAL WATER COMPANY,SONOMA,38.31326,-122.43031,Not At-Risk,54,151,PRIVATE,COMMUNITY,9.77348233200323,73077,DAC
CA4900846,ROLLING OAKS ROAD ASSOCIATION,SONOMA,38.500394,-122.67502,Not At-Risk,16,25,PRIVATE,COMMUNITY,6.43135718861712,144833,Non-DAC
CA4900850,BODEGA WATER COMPANY,SONOMA,38.35059,-122.98254,Failing,38,77,PRIVATE,COMMUNITY,9.98556102465472,116613,Non-DAC
CA4900871,MOON VALLEY WATER SYSTEM,SONOMA,38.284126,-122.471386,At-Risk,247,691,PRIVATE,COMMUNITY,10.4608689775456,83636,Non-DAC
CA4900892,SUMMIT VIEW RANCH MUTUAL WATER CO.,SONOMA,38.358707,-122.624744,Potentially At-Risk,24,45,PRIVATE,COMMUNITY,8.42575056623502,100144,Non-DAC
CA4900893,WEST WATER COMPANY (PUC),SONOMA,38.826755,-123.008515,Failing,13,40,PRIVATE,COMMUNITY,29.5922021884024,60469,DAC
CA4900901,SOBRE VISTA WATER COMPANY,SONOMA,38.327332,-122.517555,Not At-Risk,26,80,PRIVATE,COMMUNITY,6.46054229903008,96983,Non-DAC
CA4900905,MARK WEST MEADOWS MUTUAL WATER,SONOMA,38.522176,-122.722715,Not At-Risk,20,20,PRIVATE,COMMUNITY,15.1846579664634,79940,Non-DAC
CA4900907,SUMMERFIELD WALDORF SCHOOL,SONOMA,38.443636,-122.809556,Potentially At-Risk,13,301,PRIVATE,NON-TRANSIENT NON-COMMUNITY,17.4477900832462,67109,DAC
CA4900913,ROBIN WAY WATER SYSTEM,SONOMA,38.400619,-122.720645,Failing,20,66,PRIVATE,COMMUNITY,38.4275142862655,54592,SDAC
CA4900943,ALLIANCE REDWOODS CONFERENCE GROUNDS,SONOMA,38.434983,-122.977913,Not At-Risk,73,418,PRIVATE,COMMUNITY,10.3863820846213,73631,DAC
CA4900945,PRESENTATION SCHOOL,SONOMA,38.26963,-122.459964,Not At-Risk,4,200,PRIVATE,NON-TRANSIENT NON-COMMUNITY,10.4608689775456,80313,Non-DAC
CA4900973,GEORGE RANCH MUTUAL WATER COMPANY,SONOMA,38.289598,-122.536324,Not At-Risk,54,148,PRIVATE,COMMUNITY,6.46054229903008,97594,Non-DAC
CA4901062,KINNYBROOK MUTUAL WATER COMPANY,SONOMA,38.423309,-122.535865,Not At-Risk,23,48,PRIVATE,COMMUNITY,5.82779024098922,95813,Non-DAC
CA4901071,BOULEVARD HEIGHTS MUTUAL WATER,SONOMA,38.261791,-122.673403,Not At-Risk,18,60,PRIVATE,COMMUNITY,15.494678622813,83750,Non-DAC
CA4901156,WILLOWSIDE SCHOOL,SONOMA,38.438843,-122.805372,Not At-Risk,5,460,LOCAL,NON-TRANSIENT NON-COMMUNITY,17.4477900832462,67109,DAC
CA4901168,SALMON CREEK MIDDLE SCHOOL,SONOMA,38.388584,-122.929658,At-Risk,13,300,LOCAL,NON-TRANSIENT NON-COMMUNITY,9.98556102465472,83558,Non-DAC
CA4901190,LIETO WATER SYSTEM (REACH CHARTR SCHOOL),SONOMA,38.391454,-122.849994,Not At-Risk,2,30,PRIVATE,NON-TRANSIENT NON-COMMUNITY,5.73104967855985,76207,DAC
CA4901214,ADOBE CHRISTIAN CHURCH,SONOMA,38.263096,-122.595933,Not Assessed,1,50,PRIVATE,NON-TRANSIENT NON-COMMUNITY,14.6893145465463,104468,Non-DAC
CA4901215,PLUMFIELD ACADEMY SCHOOL (OCCIDENTAL RD),SONOMA,38.422264,-122.871673,Not At-Risk,1,30,PRIVATE,NON-TRANSIENT NON-COMMUNITY,11.7255962198429,111618,Non-DAC
CA4901221,GRATON MUTUAL (GREEN VALLEY HOA),SONOMA,38.433499,-122.869028,Potentially At-Risk,16,50,PRIVATE,COMMUNITY,11.7255962198429,93750,Non-DAC
CA4901246,DOWNTOWN GRATON MUTUAL WATER SYSTEM,SONOMA,38.435519,-122.869033,Not At-Risk,28,115,PRIVATE,COMMUNITY,11.7255962198429,93750,Non-DAC
CA4901309,HILTON MUTUAL WATER COMPANY,SONOMA,38.503089,-122.942233,Not At-Risk,16,100,PRIVATE,COMMUNITY,10.9434425146161,82813,Non-DAC
CA4901314,ODIYAN BUDDHIST RETREAT CENTER,SONOMA,38.621909,-123.320621,Potentially At-Risk,8,35,PRIVATE,COMMUNITY,12.9164053111075,59028,DAC
CA4901346,DELORES LANE WATER SYSTEM,SONOMA,38.394908,-122.707974,Potentially At-Risk,17,59,PRIVATE,COMMUNITY,39.1519412767798,43208,SDAC
CA4901355,TERRACE VIEW WATER SYSTEM,SONOMA,38.318199,-122.610804,Not At-Risk,16,60,PRIVATE,COMMUNITY,14.6893145465463,104468,Non-DAC
CA4901381,LICHAU HYLANDS MUTUAL WATER COMPANY,SONOMA,38.341862,-122.610438,Not At-Risk,20,56,LOCAL,COMMUNITY,8.42575056623502,100144,Non-DAC
CA4901382,CHILDKIND LAGUNA PRESCHOOL,SONOMA,38.469303,-122.848073,Not Assessed,2,42,PRIVATE,NON-TRANSIENT NON-COMMUNITY,12.5996327457233,81000,Non-DAC
CA4901436,SEBASTOPOL CHARTER SCHOOL,SONOMA,38.413993,-122.840269,At-Risk,1,310,PRIVATE,NON-TRANSIENT NON-COMMUNITY,15.2083435203911,79107,Non-DAC
CA4901445,JAMES COURT WATER SYSTEM,SONOMA,38.421002,-122.722591,Failing,40,208,PRIVATE,COMMUNITY,31.1802467893046,75849,DAC
CA4901483,CLEARWATER RANCH,SONOMA,38.793156,-123.03002,Not Assessed,1,25,PRIVATE,COMMUNITY,12.8923320375055,71845,DAC
CA4910002,"CLOVERDALE, CITY OF",SONOMA,38.799347,-123.018854,Not At-Risk,3327,10398,PRIVATE,COMMUNITY,20.102781657899,87891,Non-DAC
CA4910003,PENNGROVE WATER COMPANY (PUC),SONOMA,38.310895,-122.663802,Not At-Risk,530,1742,PRIVATE,COMMUNITY,14.6642660981037,107589,Non-DAC
CA4910004,SWEETWATER SPRINGS CWD - GUERNEVILLE,SONOMA,38.501746,-122.989622,At-Risk,2556,6000,LOCAL,COMMUNITY,13.0619165660189,76750,DAC
CA4910005,"HEALDSBURG, CITY OF",SONOMA,38.616464,-122.863831,Not At-Risk,4681,10985,LOCAL,COMMUNITY,13.3216418025382,92582,Non-DAC
CA4910006,"PETALUMA, CITY OF",SONOMA,38.244274,-122.63003,Not At-Risk,20511,60781,LOCAL,COMMUNITY,16.5318924945086,104558,Non-DAC
CA4910007,"SEA RANCH WATER COMPANY,THE (PUC)",SONOMA,38.72679,-123.470895,Not At-Risk,1943,1160,PRIVATE,COMMUNITY,5.47938250230567,80328,Non-DAC
CA4910008,RUSSIAN RIVER COUNTY WATER DISTRICT,SONOMA,38.496946,-122.908837,Not At-Risk,1197,4150,LOCAL,COMMUNITY,11.8715158844457,82372,Non-DAC
